"An error occurred while saving your RSS feed";"S'ha produït un error mentre es desava el vostre feed RSS"
"Display feed pictures whenever possible";"Exhibició alimentar imatges sempre que sigui possible"
"Enter the URL of this RSS feed";"Introduïu l'URL d'aquest feed RSS"
"Found feeds";"Trobar canals"
"No RSS feed could be found";"S'ha trobat cap feed RSS"
"RSS feed successfully saved";"Feed RSS salvat correctament"
"Show article";"Article Mostra"
"day";"el dia"
"hour";"hores"
"minute";"minut"
