"%d Unread Message";"%d message non lus"
"%d Unread Messages";"%d messages non lus"
"Account";"Compte"
"Change the password";"Changer le mot de passe"
"Click to mark as not read";"Cliquez pour marquer comme non lu"
"Click to mark as read";"Cliquez pour marquer comme lu"
"Create a user";"Créer un utilisateur"
"Edit the account ""%s""";"Editer le compte ""%s"""
"Edit the user";"Editer l'utilisateur"
"Enter your credentials:";"Entrez vos informations:"
"List of backoffice accounts";"Liste des comptes du backoffice"
"List of the messages";"Liste des messages"
"Login to your backoffice interface";"Connectez-vous à votre interface de backoffice"
"People who are allowed to access the backoffice";"Les comptes qui sont autorisés à accéder au backoffice"
"Siberian CMS";"Siberian CMS"
"This account can't be deleted, it's the only one";"Ce compte ne peut pas être supprimé, il est le seul"
"User successfully deleted";"Utilisateur supprimé avec succès"
"View Details";"Voir les détails"
"Your new password";"Votre nouveau mot de passe"
"Your password";"Votre mot de passe"
