Action;Action
App Name;Nom Application
Client;Client
Date;Date
Invoice;Facture
Invoice %s;Facture %s
Invoice N°;Facture N°
List of your invoices;Liste de vos factures
My Invoices;Mes Factures
Order;Commande
Orders;Commandes
Paid At;Payé à
Paid at:;Payé à :
Price Excl. Tax;Prix HT
Qty;Qte
This feature is not ready yet. Please try again later.;Cette fonctionnalité n'est pas encore prête. Merci de réessayer plus tard.
Total Excl. Tax;Total HT
You don't have any invoices yet;Vous n'avez pas encore de factures
