"<a href=""%s"">Click here to provide the required information to send push notifications</a>";"<a href=""%s""> Klicken Sie hier, um die erforderlichen Informationen zur Verfügung stellen, um Push-Benachrichtigungen senden </a>"
"Additionnal Information";"Zusätzliche Informationen"
"And a radius (in Km):";"Und ein Radius (in Km):"
Android;Android
"Creation date";Erstellungsdatum
"Enter a location:";"Geben Sie einen Ort ein:"
"GCM Key";"GCM Key "
"I want to send it";"Ich möchte es senden"
"Keys successfully saved";"Schlüssel erfolgreich gespeichert"
Message;Nachricht
Message:;Nachricht:
Pending;anstehend
"Push Notifications";Push-Benachrichtigungen
"Push Notifications Settings";"Push-Benachrichtigungen Einstellungen "
Radius;RADIUS
"Send to a specific location";"Senden Sie es an einen bestimmten Ort"
"Send to all my users";"Senden an alle meine Benutzer"
"Send you .pem certificate";"Senden Sie. Pem Zertifikat "
"Sender ID";"Sender ID"
"Sending date";Sendedatum
"The duration limit must be higher than the sent date";"Die Dauer Grenze muss höher als die Sendedatum sein"
Title:;Titel:
"You don't have any push notifications";"Sie haben noch keine Push-Benachrichtigungen erhalten."
"You have already sent a certificate";"Sie haben bereits ein Zertifikat gesendet "
"Your app must be published to send a push notification.";"Ihre Anwendung muss veröffentlicht werden, um eine Push-Benachrichtigung zu senden."
"Your message has been saved successfully and will be sent at the entered date";"Ihre Nachricht wurde erfolgreich gespeichert und wird am eingegebenen Datum gesendet werden"
"Your message has been saved successfully and will be sent in a few minutes";"Ihre Nachricht wurde erfolgreich gespeichert und wird in wenigen Minuten gesendet werden"
"and users entering the area";"und Anwender im Bereich"
"for a limited period";"für einen begrenzten Zeitraum"
now;jetzt
"on a specific date";"an einem bestimmten Datum"
