"Add a link";"Aggiungi un link"
"An error occurred while saving your picto. Please try againg later.";"Si è verificato un errore durante il caricamento dell'immagine. Riprova più tardi."
"Are you sure you want to delete this link?";"Sei sicuro di voler eliminare questo link?"
"Are you sure you want to delete this picture?";"Sei sicuro di voler eliminare questa immagine"
"Link";"Link"
"Link has been successfully deleted";"Link eliminato correttamente"
"Link has been successfully saved";"Link salvato correttamente"
"Picto";"Immagine"
"The image has been successfully deleted";"Immagine cancellata correttamente"
"The image has been successfully saved";"Immagine salvata correttamente"
"Your links";"I Tuoi link"
