Add a page;Bir sayfa ekle
Click on;Üzerine tıkla
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Klasöre eklemek için bir sayfaya tıklayın <span id=""folder_name"" class=""folder_name"">""%s""</span>"
Click on a page to add it to the folder;Klasöre eklemek için bir sayfaya tıklayın
Close mobile display;Mobil ekranı kapatın
Delete this folder and all its subfolders?;Bu klasörü ve tüm alt klasörleri sil?
Folder title is required;Klasör başlığı gereklidir
Folders;Klasörler
Mobile display;Mobil ekran
New folder;Yeni klasör
Subtitle;Altyazı
You cannot add this feature;Bu özelliği eklenemez
You must first complete the current category creation process;Önce mevcut kategori oluşturma işlemini tamamlamanız gerekir
You will lose all unsaved changes, continue?;Devam ederseniz tüm kaydedilmemiş değişiklikleri kaybedersiniz?
to add a folder.;bir klasör eklemek için.
