"Access restricted to authorized members only";"Accés restringit a membres autoritzats només"
"Allow all the users by default:";"Permetre que tots els usuaris per defecte:"
"Choose the features to lock:";"Triar les característiques de bloqueig:"
"Lock the entire application?";"Tancar l'aplicació sencera?"
"Restrict Access";"Restringir l'accés"
"We are sorry but your account does not have enough permissions to access this page";"Ho sentim, però el vostre compte no tenen suficients permisos per accedir a aquesta pàgina"
"the email address";"l'adreça electrònica"
"the first name";"el nom"
"the gender";"el gènere"
"the last name";"el cognom"
"the password";"la contrasenya"
