"%s - All";"%s - Vše"
"Add a category";"Přidat kategorii"
"Add a format";Přidat
All;Vše
"An error occurred while loading your product.";"Při načítání produktu došlo k chybě."
"An error occurred while saving the category. Please try again later.";"Při ukládání kategorie došlo k chybě. Zkuste to prosím později."
"An error occurred while saving the product. Please try again later.";"Při ukládání produktu došlo k chybě. Zkuste to prosím později."
"An error occurred while saving the set meal. Please try again later.";"Při ukládání Menu došlo k chybě. Zkuste to prosím později."
"An error occurred while saving. One of your categories could not be identified.";"Při ukládání došlo k chybě. Jedena z vašich kategorií nešla identifikovat."
"An error occurred while saving. One of your products could not be identified.";"Při ukládání došlo k chybě. Jeden z vašich produktů nebylo možné identifikovat."
"Are you sure you want to delete this product?";"Určitě chcete smazat tento produkt?"
Category;Kategorie
"Choose a category";"Vyberte kategorii"
"Choose a subcategory";"Vyberte podkategorii"
"Click on a category to display sub-categories";"Kliknutím na kategorii zobrazíte podkategorie"
"Create a new product";"Vytvořit nový produkt"
"Does this product have many formats?";"Má tento výrobek má více formátů?"
"Edit the";Upravit
"Edit the product";"Upravit produkt"
Format;Formát
Picture;Obrázek
Price;Cena
Product;Produkt
"Product formats";"Specifikace produktů"
"Product name";"Název produktu"
Rules;Pravidla
"Set meal successfully deleted.";"Menu úspěšně odstraněno"
"Set meal successfully saved.";"Menu úspěšně uloženo"
Sub-category;podkategorie
st;.
sub-category;podkategorie
"﻿%s - All";"%s - Vše"
