"'Near me' radius (in km):";"«Κοντά μου» ακτίνα (σε χλμ):"
"An error occurred while deleting this answer. Please try again later.";"Παρουσιάστηκε σφάλμα κατά τη διαγραφή αυτής της απάντησης. Παρακαλώ δοκιμάστε ξανά αργότερα."
"Create a news";"Δημιουργήστε μια νέα"
"Create a news:";"Δημιουργήστε μια νέα:"
"Hide this info";"Απέκρυψε αυτές τις πληροφορίες"
"Information successfully deleted";"Πληροφορίες διαγράφηκαν με επιτυχία"
"Information successfully hidden";"Κρυμμένες πληροφορίες επιτυχώς"
"Information successfully saved";"Πληροφορίες αποθηκεύτηκαν με επιτυχία"
"Information successfully shown";"Πληροφορίες φαίνονται επιτυχώς"
"Insert a";"Τοποθετήστε ένα"
"It will be visible only after validation by our team.";"Θα είναι ορατό μόνο μετά την επικύρωση από την ομάδα μας."
"My customers answers";"Οι απαντήσεις των πελατών μου"
"My customers' comments";"Σχόλια πελατών μου"
"Near me";"Κοντά μου"
"Near me settings";"Κοντινές μου ρυθμίσεις"
"Post";"Δημοσίευση"
"Publishing date";"Ημερομηνία Δημοσίευσης"
"Radius";"Ακτίνα"
"Radius must be a valid numeric value.";"Η ακτίνα πρέπει να είναι μια έγκυρη αριθμητική τιμή."
"Radius must be provided.";"Πρέπει να παρέχεται ακτίνα."
"Recent";"Πρόσφατος"
"Show this info";"Δείτε αυτές τις πληροφορίες"
"There is no comment for this news";"Δεν υπάρχει κανένα σχόλιο για αυτή την είδηση"
"Was flagged as inappropriate";"Επισημάνθηκε ως ακατάλληλο"
"You can't like more than once the same news";"Δεν μπορείτε να σας αρέσει περισσότερο από μία φορά οι ίδιες ειδήσεις"
"You need to be connected to create a post";"Θα πρέπει να είστε συνδεδεμένοι για να δημιουργήσει μια δημοσίευση"
"Your flag has successfully been notified";"Η σημαία σας έχει κοινοποιηθεί επιτυχώς"
"Your like has been successfully added";"Το μου αρέσει έχει προστεθεί με επιτυχία"
"Your message has been successfully saved.";"Το μήνυμά σας έχει αποθηκευτεί με επιτυχία."
"Your post was successfully added";"Η δημοσίευση σας προστέθηκε με επιτυχία"
