"%s point%s";"%s πόντος%s"
"A month";"το μήνα"
"A week";"την εβδομάδα"
Challengers;Αντίπαλοι
"Current game";"Τρέχον παιχνίδι"
"Currently no challengers";"Δεν υπάρχουν αντίπαλοι αυτή τη στιγμή"
"Game Name";"Όνομα Παιχνιδιού"
"Game successfully saved";"Το παιχνίδι αποθηκεύτηκε επιτυχώς"
"Next game";"Επόμενο παιχνίδι"
"On the";Την
Period;Περίοδο
Periodicity;Περιοδικότητα
"Publication date";"Ημ/νία δημοσίευσης"
"Rank of the month";"Βαθμός του μήνα"
"Rank of the week";"Βαθμός της εβδομάδας"
"Team Leader";"Αρχηγός ομάδας"
