"Contact informations";"Información de contacto"
"Website";"Página Web"
"Insert a <br /><span class=""bold"">cover image</span>";"insertar una <br /><span class=""bold"">imagen de la portada</span>"
"Are you sure you want to remove the picture?";"¿Está seguro de eliminar la imagen?"
"SEND";"ENVIAR"
"Your name";"Su Nombre"
"Your email";"Su e-mail"
"Your request";"Su pedido"
"Your request:";"Su pedido :"
"Thank you for your request. We'll answer you as soon as possible.";"Muchas gracias por su mensaje, le responderemos lo más pronto posible."
"An error occurred while sending your message. We apologize and ask you to try later.";"Se produjo un error al enviar su mensaje. Por favor inténtelo de nuevo más tarde."
"An error occurred while saving your contact informations.";"Un error ha surgido al guardar sus datos de contacto."
"An error occurred while sending your request. Please try again later.";"Un error ha surgido durante el envío de su pregunta Por favor inténtelo de nuevo más tarde."
"Please enter properly the following fields: <br />";"Por favor introduzca correctamente estos campos : <br />"
"Message from your app %s";"Mensaje desde su app %s"
"You have received a message from a contact:";"Usted recibió un mensaje de"
"Here is his message:";"Esto es su mensaje:"
"Here is his email:";"Usted puede responderle a la dirección siguiente"
"And his phone number:";"O por teléfono a"
