"%s Subscription for %s";"%sПодписка на %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Нажмите здесь</a> чтобы вернуться к списку приложений"
"Active";"Активный"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Произошла ошибка при обработке платежа. Для получения более подробной информации, пожалуйста, не стесняйтесь обращаться к нам."
"An error occurred while processing your order. Please, try again later.";"Произошла ошибка при обработке вашего заказа. Пожалуйста, повторите попытку позже."
"An error occurred while saving. Please try again later";"Произошла ошибка при сохранении. Пожалуйста, повторите попытку позже"
"An error occurred while saving. The selected subscription is not valid.";"Произошла ошибка при сохранении. Выбранная подписка не действует."
"Are you sure you want to delete this plan?";"Вы уверены, что хотите удалить этот план?"
"Billing Address";"Адрес для выставления счета"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"Установив этот флажок вы соглашаетесь <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">чтобы наши условия</a>"
"Charged to your client every month";"Отсылается вашему клиенту каждый месяц"
"Charged to your client every year";"Отсылается вашему клиенту каждый год"
"Charged to your client when placing the order";"Отсылается вашему клиенту при оформлении заказа"
"Choose the subscription that suits you best:";"Выберите подписку, которая подходит вам лучше всего:"
"Create a new subscription";"Создать новую подписку"
"Creation";"Создание"
"Describe here this plan. Will be displayed on the front end";"Опишите здесь этот план. Будет отображаться вначале"
"Each price must be entered excluding tax";"Каждая цена должна быть введена без учета налога"
"Edit the subscription %s";"Редактирование подписки %s"
"Expiration";"Окончание"
"Expiration date";"Дата окончания"
"Give a name to this plan. Will be displayed on the front end";"Дайте имя этому плану. Будет отображаться вначале"
"List of your plans";"Список ваших планов"
"List of your subscriptions";"Список ваших подписок"
"None";"Ни одной"
"One-off";"Один раз"
"Order's details";"Подробности заказа"
"Payment";"Оплата"
"Payment Option";"Способ оплаты"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Обеспечение оплаты <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Пожалуйста, введите имя компании"
"Please, enter a country";"Пожалуйста, введите страну"
"Please, enter a description.";"Пожалуйста, введите описание."
"Please, enter a name.";"Пожалуйста, введите имя."
"Please, enter an address";"Пожалуйста, введите адрес"
"Pricing";"Цены"
"Proceed to payment?";"Порядок оплаты"
"Recurring";"Периодичность"
"Setup Fee";"Способ оплаты"
"Setup fee";"Установленная плата"
"Subscription";"Подписка"
"Subscription successfully saved";"Подписка успешно сохранена"
"Subtotal";"Промежуточный итог"
"Thanks!";"Спасибо!"
"The monthly price is not a valid price (e.g. 12.34)";"Ежемесячно цена не действует, цена (например, 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"Установочная плата не действует, цена (например, 12,34)"
"The yearly price is not a valid price (e.g. 12.34)";"Ежегодно цена не действует, цена (например, 12,34)"
"This subscription is active";"Эта подписка активна"
"VAT Number";"VAT номер"
"You already have a subscription for this application";"У вас уже есть подписка для этого приложения"
"You don't have any subscriptions yet";"У вас пока нет подписок"
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Вы почти закончили! После подписки, мы будем публиковать приложения на AppStore и Google Play."
"Your VAT Number is not valid";"Ваш номер VAT не действует"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Ваш заказ был отменен. Если вам нужна помощь, чтобы оформить заказ, пожалуйста, не стесняйтесь обращаться к нам."
"Your order has been successfully paid. Your application will be published very soon.";"Ваш заказ был успешно оплачен. Ваша заявка будет опубликована в ближайшее время."
"Your subscription must have at least one price";"Ваша подписка должна иметь по крайней мере одну цену"
"price";"цена"
